round, random_action, action, bestAction, profit, whitenoise, estimated_profit
32179, 0.904221, 0.781916, 0.261972, 0.747320, 0.106926, 0.749033
32180, 0.568363, 0.505579, 0.303955, 0.456968, 0.000000, 0.435903
32181, 0.349507, 0.780190, 0.331312, 0.566455, 0.106914, 0.584139
32182, 0.584005, 0.518052, 0.301999, 0.696948, 0.106908, 0.716728
32183, 0.728612, 0.694270, 0.283924, 0.594442, 0.106902, 0.604702
32184, 0.549031, 0.568928, 0.306371, 0.537415, 0.106896, 0.545221
32185, 0.891001, 0.800824, 0.263625, 0.566797, 0.106890, 0.589405
32186, 0.978323, 0.596616, 0.252710, 0.455301, 0.106884, 0.434971
32187, 0.675136, 0.412933, 0.290608, 0.411492, 0.106878, 0.374301
32188, 0.486542, 0.505744, 0.314182, 0.553527, 0.106872, 0.556428
32189, 0.675076, 0.741062, 0.290615, 0.636902, 0.106866, 0.650136
32190, 0.264265, 0.564514, 0.341967, 0.562583, 0.000000, 0.571953
32191, 0.796999, 0.904002, 0.275375, 0.698892, 0.106854, 0.706184
32192, 0.025396, 0.316844, 0.371826, 0.414356, 0.106848, 0.395831
32193, 0.873216, 0.781061, 0.265848, 0.919362, 0.106842, 0.859324
32194, 0.019453, 0.615271, 0.372568, 0.459527, 0.106836, 0.440008
32195, 0.855509, 0.710229, 0.268061, 0.923350, 0.106830, 0.862015
32196, 0.403464, 0.541428, 0.324567, 0.478999, 0.106824, 0.470937
32197, 0.524555, 0.771120, 0.309431, 0.677491, 0.106818, 0.689990
32198, 0.538855, 0.689220, 0.307643, 0.630065, 0.106812, 0.644210
32199, 0.498757, 0.438259, 0.312655, 0.578731, 0.106806, 0.599044
32200, 0.521534, 0.609234, 0.309808, 0.651258, 0.000000, 0.670520
32201, 0.057871, 0.674586, 0.367766, 0.634838, 0.106794, 0.651041
32202, 0.093611, 0.672525, 0.363299, 0.895063, 0.106788, 0.846899
32203, 0.793749, 0.841338, 0.275781, 0.857963, 0.106782, 0.822777
32204, 0.206190, 0.479410, 0.349226, 0.498359, 0.106776, 0.486924
32205, 0.805423, 0.812266, 0.274322, 0.791470, 0.106770, 0.781332
32206, 0.932645, 0.624494, 0.258419, 0.492096, 0.106764, 0.482220
32207, 0.256709, 0.586449, 0.342911, 0.437128, 0.106758, 0.411123
32208, 0.333879, 0.773920, 0.333265, 0.770986, 0.106752, 0.767375
